trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
906,False,"{'a': 0.85, 'e': 0.1630310803056959}",20,0,30.06148077586365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
907,False,"{'a': 0.85, 'e': 0.1627050181450845}",30,19,-3.0451326286604767,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
908,False,"{'a': 0.85, 'e': 0.16237960810879434}",25,1,-25.142864172495933,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
909,False,"{'a': 0.85, 'e': 0.16205484889257676}",20,12,14.22587460049018,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
910,False,"{'a': 0.85, 'e': 0.1617307391947916}",20,0,-9.384889386007382,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
911,False,"{'a': 0.85, 'e': 0.16140727771640204}",20,11,16.15226096657494,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
912,False,"{'a': 0.85, 'e': 0.16108446316096922}",25,17,3.349662649844259,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
913,False,"{'a': 0.85, 'e': 0.16076229423464727}",20,11,16.74942821876676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
914,False,"{'a': 0.85, 'e': 0.16044076964617798}",25,12,11.045599605301287,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
915,False,"{'a': 0.85, 'e': 0.16011988810688563}",20,14,12.353197979544852,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
916,False,"{'a': 0.85, 'e': 0.15979964833067187}",20,10,7.003910903221377,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
917,False,"{'a': 0.85, 'e': 0.15948004903401053}",30,20,21.299700190112564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
918,False,"{'a': 0.85, 'e': 0.1591610889359425}",25,18,-0.9684553641030162,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
919,False,"{'a': 0.85, 'e': 0.1588427667580706}",20,10,-48.4425611005157,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
920,False,"{'a': 0.85, 'e': 0.15852508122455447}",25,20,11.829943915842634,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
921,False,"{'a': 0.85, 'e': 0.15820803106210535}",20,10,15.52147246053564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
