trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.810157377815473}",25,0,-162.06893418074063,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",25,0,-108.69004540412922,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",25,0,-90.46343300012786,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.798065677681905}",20,0,-151.3904394322439,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934954}",35,0,-211.52693319527083,"{0: 24, 1: 0, 2: 4, 3: 4, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.7901049725470279}",20,0,-148.05260845963744,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",30,5,-61.631883970725006,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.7822236754458713}",20,0,-35.13569291236097,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.778312557068642}",25,0,-218.16580001865938,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832988}",20,15,-6.028848230548528,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7705488893118823}",20,0,-74.70633606579445,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7666961448653229}",20,0,-89.85501805227172,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7628626641409962}",30,0,-199.7872559395623,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",20,0,-101.58152687960099,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",20,0,-91.14054512535834,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
