trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-63.30908051509733,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.990025}",25,0,-88.5489403146011,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-5.350982410810908,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",25,0,-165.77063717339493,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",25,0,-83.92248323836448,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",20,0,-180.03773837253073,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",20,0,-131.05987931826152,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.960693043575437}",25,9,-102.90242104363776,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",20,0,-66.77227157751375,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",30,0,-143.66893272334104,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",30,0,-45.26109224871441,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-103.84311757472675,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-66.0132829131893,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",20,0,-17.6857954467124,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,13,-31.0159280326324,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",20,0,-104.44338223821435,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",25,0,-87.78403187115767,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",30,0,-107.61270137334628,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",30,0,-45.61114289344701,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",25,0,-157.1342659490861,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",20,0,-139.11505735180265,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",20,12,-67.19832049964474,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",30,0,-185.54449417668576,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",30,0,-112.09184287509873,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488013}",25,0,-133.95834907670073,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340573}",20,13,-5.347056710756523,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8734200960253871}",20,0,-71.81914797328776,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8690529955452602}",25,0,-155.72780639061565,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8647077305675338}",20,0,-91.43505975024715,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8603841919146962}",20,0,-117.96839571865827,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8560822709551227}",25,0,-91.41633275954011,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.851801859600347}",25,0,-97.16783692234141,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8475428503023453}",20,12,-11.000123068191133,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8433051360508336}",20,8,-54.814156450014224,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.8390886103705794}",20,0,-90.39987974312629,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8348931673187264}",20,0,-26.294613498453742,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8307187014821328}",20,0,-118.50045787069337,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.8265651079747222}",35,6,-84.94507040639152,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.8224322824348486}",20,0,-85.63977317945391,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8183201210226743}",35,4,-87.68685524253134,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.8142285204175609}",35,0,-156.52402495937983,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.810157377815473}",25,0,-83.76335795646624,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",30,0,-82.27511807537446,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",25,19,-2.445023205572637,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.798065677681905}",25,0,-124.70949489092669,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934954}",20,0,-91.78172347324075,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.7901049725470279}",20,0,-71.61637020754866,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",35,0,-98.39572572011123,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7822236754458713}",30,0,-194.09537947021227,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.778312557068642}",20,0,-72.34774500572122,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832988}",25,0,-51.52848017915524,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7705488893118823}",20,0,-115.10612026788907,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.7666961448653229}",20,0,-102.20856622410048,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7628626641409962}",30,0,-82.91567465855377,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",30,0,-81.83810997101726,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",30,0,-117.08432434593969,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",25,0,-68.84475280869177,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",20,0,-140.3116907474898,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",20,0,-186.67670601548588,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",30,0,-152.31742004776567,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.736559652908221}",25,0,-100.63293980472727,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.7328768546436799}",35,0,-129.16502887581032,"{0: 21, 1: 7, 2: 4, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704616}",20,13,-3.5150212005939174,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.7255664080186093}",20,0,-70.87361390779266,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.7219385759785162}",25,0,-68.53768036982011,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.7183288830986236}",25,1,-188.99234347227704,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 4}",1
67,False,"{'a': 0.5, 'e': 0.7147372386831305}",20,0,-46.24342581352394,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7111635524897149}",25,0,-28.15501916010456,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.7076077347272662}",20,0,-73.63648903431464,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.7040696960536299}",25,0,-83.23289628417032,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7005493475733617}",30,5,-73.55253746255451,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.697046600835495}",25,0,-30.438516291676084,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6935613678313175}",20,0,-29.003252664983776,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6900935609921609}",30,0,-161.76080125084684,"{0: 20, 1: 0, 2: 5, 3: 3, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.6866430931872001}",20,6,-41.254633853455964,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.6832098777212641}",35,17,-58.459782088972084,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.6797938283326578}",25,7,-47.545566189772,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.6763948591909945}",35,0,-74.01936438969014,"{0: 26, 1: 5, 2: 2, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.6730128848950395}",25,0,-86.8597168054162,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.6696478204705644}",20,0,-91.15359250474884,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.6662995813682115}",35,0,-98.20172246952362,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.6629680834613705}",20,0,-130.9463223670141,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.6596532430440636}",20,0,-39.965633800088966,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.6563549768288433}",20,10,-56.44853303231032,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.653073201944699}",20,3,-24.27622270529831,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.6498078359349755}",20,0,-24.373591156222833,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.6465587967553006}",30,13,-70.95777037612413,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.6433260027715241}",20,0,-42.17136583736304,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.6401093727576664}",30,0,-75.37741067036096,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.6369088258938781}",25,14,-30.752211568601222,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.6337242817644086}",25,0,-112.40779492197849,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.6305556603555866}",20,0,-67.33433123089824,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.6274028820538087}",25,0,-46.995275281571004,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.6242658676435396}",20,0,13.601507624510239,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.6211445383053219}",20,3,-106.83206440150926,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
96,False,"{'a': 0.5, 'e': 0.6180388156137953}",25,11,-10.717636097266976,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.6149486215357263}",25,0,-103.35784582646127,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.6118738784280476}",20,0,-52.332006164525595,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.6088145090359074}",20,0,-49.642021630960045,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.6057704364907278}",25,0,-53.381204987711264,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.6027415843082742}",30,19,3.6694909388371144,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.5997278763867329}",25,0,-124.01139304835738,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.5967292370047992}",20,0,-69.52271298382581,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.5937455908197752}",25,0,-72.08847712685898,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.5907768628656763}",25,11,-41.951030769859386,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.5878229785513479}",20,7,-0.2991092357610641,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
